Time,F_Scale,Location,County,State,Lat,Lon,Comments
1657,UNK,2 NNE LAMAR,BENTON,MS,34.95,-89.3,EF0 TORNADO OCCURRED JUST WEST OF THE INTERSECTION OF HIGHWAY 7 AND HIGHWAY 72. TORNADO UPROOTED A FEW TREES AND UNROOFED A METAL BARN. (MEG)
1815,UNK,1 N TUPELO,LEE,MS,34.28,-88.73,(MEG)
1823,UNK,4 ESE PRATTS FRIENDSHIP,ITAWAMBA,MS,34.43,-88.51,EF1 TORNADO WAS ON THE GROUND FOR 2.5 MILES IN NORTHWEST ITAWAMBA COUNTY. THIS TORNADO DAMAGED NUMEROUS TREES AND SEVERAL MOBILE HOMES. (MEG)
1839,UNK,2 W MARIETTA,PRENTISS,MS,34.5,-88.51,DEBRIS REPORTED AND TREES DAMAGED AT HIGHWAY 366 AND C.R. 5334 (MEG)
1843,UNK,4 S BOONEVILLE,PRENTISS,MS,34.6,-88.57,A BRIEF EF0 TORNADO OCCURRED NEAR COUNTY ROADS 5131 AND 5031. MINOR DAMAGE WAS OBSERVED TO SEVERAL STRUCTURES. (MEG)
2016,UNK,5 NW SAVANNAH,HARDIN,TN,35.28,-88.3,BRIEF TORNADO ALONG COFFEE LANDING ROAD. A SHED WAS DESTROYED. (MEG)
2042,UNK,1 NW REFORM,PICKENS,AL,33.38,-88.03,TORNADO REPORTED NEAR DOLLAR GENERAL STORE IN REFORM RELAYED VIA 911 CALL CENTER. TDS ALSO VISIBLE ON KBMX RADAR AT 20:42Z. (BMX)
2051,UNK,5 WSW ASHCRAFT CORNER,PICKENS,AL,33.49,-87.98,MULTIPLE TREES BLOCKING THE ROAD AND POSSIBLE ENTRAPMENT. REPORT RELAYED VIA SOCIAL MEDIA. TIME APPROXIMATE. (BMX)
2058,UNK,1 NE KENNEDY,LAMAR,AL,33.59,-87.98,TREE AND ROOF DAMAGE ALONG COUNTY ROAD 2 AND TREES DOWN ALONG HIGHWAY 17. TIME APPROXIMATE. (BMX)
2112,UNK,3 W FAYETTE,FAYETTE,AL,33.69,-87.88,POSSIBLE TORNADO REPORTED NEAR INTERSECTION OF ALABAMA HIGHWAY 96 AND COUNTY ROAD 21. AMATEUR RADIO OPERATOR REPORTS REPEATER OUTAGE DUE TO POSSIBLE TORNADO. TIME ESTIM (BMX)
2124,UNK,4 NNW BEVILL STATE COLL,FAYETTE,AL,33.78,-87.84,STORM SPOTTER REPORTS POSSIBLE TORNADO WITH FLYING DEBRIS ALONG EL BETHEL ROAD. TIME APPROXIMATE. (BMX)
2130,UNK,OLIVE HILL,HARDIN,TN,35.27,-88.03,3 HOMES WITH MINOR DAMAGE..ROOF AND PORCH..2 WERE MOBILE HOMES. SEVERAL TREES DOWN AND AT LEAST ONE UTILTY POLE. (MEG)
2215,UNK,3 NW MOUNT PLEASANT,MAURY,TN,35.58,-87.23,7 POWER POLES DOWN ALONG WITH TREES. TDS OBSERVED ON RADAR AT TIME OF REPORT. (OHX)
2220,UNK,2 W MOUNT PLEASANT,MAURY,TN,35.55,-87.22,NWS STORM SURVEY FOUND AN EF0 TORNADO. PATH LENGTH WAS 1.5 MILES...WIDTH 50 YARDS. PEAK WIND 75 MPH. (OHX)
0011,UNK,1 SE HARMON,BIBB,AL,33.02,-87.26,STORM CHASER TOOK VIDEO OF TORNADO CROSSING U.S. HIGHWAY 82 IN BIBB COUNTY NEAR EOLINE. TIME APPROXIMATE. (BMX)
0428,UNK,5 NW NASHVILLE,DAVIDSON,TN,36.22,-86.85,NWS STORM SURVEY FOUND AN EF1 TORNADO NEAR THE BORDEAUX COMMUNITY. PATH LENGTH WAS 0.7 MILES...WIDTH 75 YARDS. PEAK WIND 95 MPH. (OHX)
0447,UNK,4 NE BERRY HILL,DAVIDSON,TN,36.16,-86.71,NWS STORM SURVEY FOUND A BRIEF EF0 TORNADO. PATH 1 MILE... WIDTH 50 YARDS. PEAK WIND 75 MPH. (OHX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1420,UNK,5 E DEAN CHURCH ROAD,WALTON,FL,30.72,-86.04,TREES AND POWER LINES DOWN ON HWY 90 E NEAR OLD SPANISH TRAIL. (TAE)
1707,UNK,2 SW FIELDS,MACON,GA,32.25,-84.02,TREE REPORTED DOWN ON DRAYTON RD. (FFC)
1707,UNK,FIELDS,MACON,GA,32.27,-84,POWER LINES DOWN NEAR THE INTERSECTION OF CEDAR VALLEY RD AND GA-90. (FFC)
1732,UNK,1 WSW NEAL,HOUSTON,GA,32.43,-83.81,TREE REPORTED DOWN ON TOOMER RD NEAR INTERSECTION WITH GA-224. (FFC)
1741,UNK,SHADY GROVE,HOUSTON,GA,32.53,-83.69,TREE REPORTED DOWN ON POWERLINES ON JOHNSON COURT. (FFC)
1750,UNK,QUAIL MEADOW,HOUSTON,GA,32.6,-83.7,POWER LINES DOWN ACROSS THE ROAD AT THE 100 BLOCK OF COVEY DRIVE. (FFC)
1750,UNK,1 ENE WARNER ROBINS,HOUSTON,GA,32.62,-83.62,POWER LINES DOWN ON THE 200 BLOCK OF N PLEASANT HILL RD (FFC)
1754,UNK,BONAIRE,HOUSTON,GA,32.54,-83.6,POWER LINES DOWN ON 100 BLOCK OF ALLEN WAY. (FFC)
1850,UNK,BOONEVILLE,PRENTISS,MS,34.66,-88.57,TREES AND POWER LINES DOWN ON OLD MEADOW CREEK ROAD. METAL ROOFING TORN OFF BUILDING. (MEG)
1930,UNK,1 NNW HARLEM,COLUMBIA,GA,33.43,-82.32,COLUMBIA COUNTY SHERIFF REPORTED TREE IN ROADWAY AT N. FAIRFIELD DRIVE AND SAWDUST ROAD IN HARLEM. (CAE)
1951,UNK,2 WNW NEW ELLENTON,AIKEN,SC,33.44,-81.72,HIGHWAY PATROL REPORTED POWER LINES DOWN NEAR THE INTERSECTION OF DRY BRANCH ROAD AND CHIME BELL CHURCH ROAD. (CAE)
1952,UNK,2 NW NEW ELLENTON,AIKEN,SC,33.43,-81.71,REPORTED A LARGE BRANCH THAT DOWNED A POWER LINE ALONG DRY BRANCH ROAD NEAR NEW ELLENTON. (CAE)
1952,UNK,3 WSW GROVETOWN,COLUMBIA,GA,33.44,-82.25,SHERIFF DISPATCH REPORTED TREES DOWN ALONG OLD LOUISVILLE ROAD AND YOUNG DRIVE. (CAE)
1959,UNK,NEW ELLENTON,AIKEN,SC,33.42,-81.69,HIGHWAY PATROL REPORTED A TREE DOWN IN THE TOWN OF NEW ELLENTON AT THE INTERSECTION OF VIRGINIA AVENUE AND COFFEE STREET. (CAE)
2030,UNK,ALFORD,JACKSON,FL,30.69,-85.39,TREE DOWN NEAR ALFORD (TAE)
2046,UNK,5 NNE CAMDEN,KERSHAW,SC,34.33,-80.59,SHERIFF DISPATCH REPORTED A TREE DOWN ALONG LOCKHART ROAD NEAR BUTTERNUT LANE. (CAE)
2052,UNK,6 NNE CAMDEN,KERSHAW,SC,34.35,-80.57,SHERIFF DISPATCH REPORTED TREES DOWN IN THE VICINITY OF SANDERS CREEK ROAD AND LOCKHART ROAD. (CAE)
2054,UNK,9 SSE KERSHAW,KERSHAW,SC,34.42,-80.53,SHERIFF DISPATCH REPORTED TREES DOWN IN THE VICINITY OF OLD GEORGETOWN ROAD AND LOCKHART ROAD. (CAE)
2055,UNK,10 WSW BETHUNE,KERSHAW,SC,34.37,-80.51,SHERIFF DISPATCH REPORTED TREES DOWN NEAR THE INTERSECTION OF LAKE ELLIOTT ROAD AND OLD GEORGETOWN ROAD. (CAE)
2115,UNK,1 WNW BETHUNE,KERSHAW,SC,34.42,-80.36,SHERIFF DISPATCH REPORTED A TREE DOWN ON PINE DRIVE NEAR THE TOWN OF BETHUNE. (CAE)
2136,UNK,HARTSVILLE,DARLINGTON,SC,34.37,-80.08,TREES AND SIGNAGE DOWN ALONG SOUTH 4TH STREET IN HARTSVILLE (ILM)
2140,UNK,1 W WILDOMAR,RIVERSIDE,CA,33.61,-117.27,MULTIPLE TREE LIMBS DOWN... DIAMETER ESTIMATED AT 6 TO 12 INCHES. (SGX)
2141,UNK,2 SW SEDCO HILLS,RIVERSIDE,CA,33.62,-117.31,CHP REPORTED 2 POWER POLES DOWN... WINDS ESTIMATED AT 60 PLUS MPH. (SGX)
2146,UNK,GRAYS,JASPER,SC,32.67,-81.02,SOUTH CAROLINA HIGHWAY PATROL REPORTED A TREE DOWN ON HERITAGE ROAD NEAR THE INTERSECTION WITH LAWTONVILLE ROAD. (CHS)
2147,UNK,GRAYS,JASPER,SC,32.67,-81.02,SOUTH CAROLINA HIGHWAY PATROL REPORTED A TREE DOWN ON HIGHWAY 3 NEAR THE INTERSECTION WITH GRAYS HIGHWAY. (CHS)
2150,60,DARLINGTON,DARLINGTON,SC,34.3,-79.87,ESTIMATED WINDS OF 60+ MPH REPORTED BY NWS EMPLOYEE AT DARLINGTON EOC (ILM)
2151,UNK,DARLINGTON,DARLINGTON,SC,34.3,-79.87,ROOF OFF HOUSE AT 1525 NANCYS DRIVE (ILM)
2154,UNK,DARLINGTON,DARLINGTON,SC,34.3,-79.87,POWER LINES DOWN IN ROAD ALONG E. BILLY FARROW HWY ABOUT 1/2 MILES WEST OF US 52 (ILM)
2203,60,DARLINGTON,DARLINGTON,SC,34.3,-79.87,ESTIMATED WINDS OF 60+ MPH REPORTED BY NWS EMPLOYEE AT DARLINGTON EOC (ILM)
2203,UNK,HARTSVILLE,DARLINGTON,SC,34.37,-80.08,*** 2 INJ *** MOBILE HOME FLIPPED OVER BY TSTM WINDS (ILM)
2212,UNK,N FRUIT COVE,ST. JOHNS,FL,30.1,-81.62,911 CALL CENTER REPORTED A TREE DOWN IN THE FRUIT COVE AREA. TIME ESTIMATED USING RADAR DATA. (JAX)
2220,UNK,BAINBRIDGE,DECATUR,GA,30.91,-84.58,SEVERAL TREES DOWN IN DECATUR COUNTY (TAE)
2242,65,3 S CORONA,RIVERSIDE,CA,33.82,-117.57,CORRECTED REPORT: MEASURED AT CORONA 1... CA. CNAC1 (RAWS). OBSERVATIONS ONLY REPORTED ONCE AN HOUR... THEREFORE GUST TIME WAS ESTIMATED FROM RADAR. (SGX)
2245,UNK,CAIRO,GRADY,GA,30.88,-84.21,SEVERAL TREES DOWN IN GRADY COUNTY (TAE)
2300,UNK,2 NE HOME GARDENS,RIVERSIDE,CA,33.9,-117.49,STRONG WINDS TORE ROOF PANELS FROM SEVERAL MOBILE HOMES AND DAMAGED A DECK. (SGX)
2311,65,3 S CORONA,RIVERSIDE,CA,33.82,-117.57,MEASURED AT CORONA 1... CA. CNAC1 (RAWS). (SGX)
2318,UNK,THOMASVILLE,THOMAS,GA,30.84,-83.98,1 TREE DOWN IN THOMASVILLE (TAE)
2320,UNK,EASON,THOMAS,GA,30.81,-83.85,1 TREE DOWN OUT IN THE COUNTY (TAE)
2325,UNK,5 ENE TALLAHASSEE COML,LEON,FL,30.46,-84.21,1 TREE DOWN AT NORTH BARN WAY (TAE)
2345,UNK,1 ENE QUITMAN,BROOKS,GA,30.79,-83.55,POWER LINE DOWN ON LAFAYETTE STREET DURING THE THURSDAY EVENING STORM (TAE)
2348,UNK,BRITTONS NECK,MARION,SC,33.91,-79.34,TREE DOWN ON HIGHWAY 378 IN THE BRITTONS NECK AREA. TIME ESTIMATED BY RADAR. (ILM)
2354,UNK,10 W CONWAY,HORRY,SC,33.84,-79.24,TREE DOWN IN ROAD US378 AND PEE DEE HWY (ILM)
0005,UNK,MONTICELLO,JEFFERSON,FL,30.54,-83.87,TREE DOWN ON BLAKE DRIVE IN MONTICELLO (TAE)
0009,UNK,2 WSW EOLINE,BIBB,AL,32.99,-87.27,TREES AND POWER LINES DOWN ACROSS PORTIONS OF WARD SCHOOL ROAD... WEST EOLINE ROAD AND BEAR CREEK ROAD. POSSIBLE TORNADO. REPORT RELAYED BY SOCIAL MEDIA. LOCATION APPRO (BMX)
0155,UNK,1 NW ALABASTER,SHELBY,AL,33.26,-86.83,TREE DOWN AT HIGHWAY 95 AND BIG CLOUD CIRCLE. (BMX)
0200,UNK,1 E HOLLY POND,CULLMAN,AL,34.17,-86.6,TREES DOWN ALONG US 278 EAST OF HOLLY POND. TIME ESTIMATED FROM RADAR. (HUN)
0200,UNK,2 ENE HOLLY POND,CULLMAN,AL,34.19,-86.59,SEVERAL BARNS DAMAGED... NUMEROUS TREES DOWNED... AND ONE HOUSE WITH STRUCTURAL DAMAGE NEAR COUNTY ROAD 1732 AND 1728. TIME ESTIMATED FROM RADAR. (HUN)
0200,58,24 N MERCURY,NYE,NV,37,-116.06,MEASURED AT REBOUND MEDA (SOUTH) MESONET STATION. (VEF)
0201,UNK,4 ENE HOLLY POND,CULLMAN,AL,34.2,-86.56,BARN DAMAGED ALONG COUNTY ROAD 1719. TIME ESTIMATED FROM RADAR. (HUN)
0210,UNK,2 NE BAILEYTON,CULLMAN,AL,34.28,-86.58,TREES DOWN NEAR THE INTERSECTION OF AL 67 AND AL 69 NEAR BAILEYTON. TIME ESTIMATED FROM RADAR. (HUN)
0216,UNK,3 ENE BAILEYTON,CULLMAN,AL,34.27,-86.56,DOWNED TREES AND POWER LINES ALONG COUNTY ROADS 1814 AND 1763. TIME ESTIMATED FROM RADAR. (HUN)
0216,UNK,4 NE BAILEYTON,CULLMAN,AL,34.3,-86.57,TREE DOWN ACROSS COUNTY ROAD 1776 NEAR JOPPA. TIME ESTIMATED FROM RADAR. (HUN)
0219,UNK,4 WSW ARAB,MARSHALL,AL,34.32,-86.56,TREE DOWN ON HULACO ROAD BETWEEN HULACO AND ARAB. TIME ESTIMATED FROM RADAR. (HUN)
0219,UNK,1 SSE ARAB,MARSHALL,AL,34.32,-86.5,LARGE TREE DOWN ON MAIN STREET IN ARAB. TIME ESTIMATED FROM RADAR. (HUN)
0221,UNK,4 NW ARAB,MARSHALL,AL,34.36,-86.56,TREE DOWN NEAR THE INTERSECTION OF RUTH AND MAT MORROW ROAD. TIME ESTIMATED FROM RADAR. (HUN)
0256,UNK,1 S SHELBY,SHELBY,AL,33.09,-86.58,TREE DOWN AT COUNTY 46 AND COUNTY 47. (BMX)
0320,UNK,3 NE NASHVILLE,DAVIDSON,TN,36.2,-86.74,TREE FELL ON A CAR ON EAST TRINITY LANE (OHX)
0420,UNK,5 WNW NASHVILLE,DAVIDSON,TN,36.21,-86.86,SEVERAL TREES REPORTEDLY UPROOTED ON DRAKES BRANCH ROAD NEAR ASHLAND CITY HIGHWAY. POSSIBLE TORNADO. (OHX)
0526,95,19 S HAIWEE,INYO,CA,35.88,-117.92,FIVE MILE RAWS REPORTED A WIND GUST TO 95 MPH WITH SUSTAINED WINDS OF 58 MPH DURING A THUNDERSTORM IN THE LATE EVENING. (VEF)
Time,Size,Location,County,State,Lat,Lon,Comments
1959,100,NEW ELLENTON,AIKEN,SC,33.42,-81.69,UTILITY EMPLOYEE REPORTED HAIL THE SIZE OF A QUARTER IN THE TOWN OF NEW ELLENTON. (CAE)
